Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-teamc.id.json	5466	-	0	0	0	0	0	0	2	76	0	0	0	0	0	0	0	0	254	142	0	0	0	4	0	0
fsh-generated/resources/CodeSystem-BirdPatientBreed.json	1263	11	1	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	144	1541	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CatPatientBreed.json	1853	9	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	144	73	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DogPatientBreed.json	1782	9	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	145	60	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-PatientGenderStatus.json	953	8	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	133	81	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-PatientSpecies.json	1400	8	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	344	50	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-PetZootechnicalPurpose.json	2098	7	0	0	0	0	0	0	0	9	0	0	0	0	0	0	1	0	167	50	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-PatientBreed.json	1290	4	0	0	0	0	0	58	0	58	0	1	0	0	0	0	0	0	289	683	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-PatientGenderStatus.json	1300	5	0	0	0	0	0	48	0	46	0	0	0	0	0	0	0	0	302	271	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-PatientSpecies.json	1263	4	0	0	1	0	0	59	0	42	0	0	0	0	0	0	0	0	278	242	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-PetOrigin.json	7904	21	1	0	0	0	0	336	0	281	0	0	0	0	0	0	2	0	887	1242	0	0	0	15	0	1
fsh-generated/resources/StructureDefinition-PetOwnerRelatedPerson.json	5822	15	0	0	0	0	0	246	0	209	0	0	0	0	0	0	0	0	1015	730	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-PetParticularSigns.json	7948	20	0	0	0	0	0	289	0	277	0	0	0	0	0	0	1	0	916	622	0	0	0	16	0	0
fsh-generated/resources/StructureDefinition-PetPatient.json	5689	13	0	0	0	0	0	290	0	289	0	3	0	0	0	0	1	0	759	871	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-PetTypeCoat.json	7924	20	0	0	0	0	0	287	0	270	0	0	0	0	0	0	1	0	954	539	0	0	0	13	0	0
fsh-generated/resources/StructureDefinition-PetWeight.json	8552	26	0	0	0	0	0	312	0	297	0	0	0	0	0	0	1	0	949	770	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-PetZootechnicalPurpose.json	8727	22	0	0	0	0	0	332	0	304	0	0	0	0	0	0	1	0	970	596	0	0	0	17	1	1
fsh-generated/resources/StructureDefinition-VetComposition.json	26640	57	0	0	0	0	0	835	0	795	0	0	0	0	0	0	3	0	2359	1657	0	1	0	32	0	1
fsh-generated/resources/StructureDefinition-VetOrganization.json	7266	22	0	0	0	0	0	283	0	255	0	1	0	0	0	0	1	0	1255	496	0	0	0	13	0	0
fsh-generated/resources/StructureDefinition-VetPractitioner.json	7882	19	0	0	0	0	0	277	1	248	0	0	0	0	0	0	2	0	901	491	0	0	0	12	0	1
fsh-generated/resources/ValueSet-PatientBreed.json	704	3	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	355	8636	0	0	0	1	0	0
fsh-generated/resources/ValueSet-PatientGenderStatus.json	555	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	167	774	0	0	0	1	0	0
fsh-generated/resources/ValueSet-PatientSpecies.json	524	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	178	1311	0	0	0	0	0	0
